Partenaire/Sponsor,Type,Contact,Email,Téléphone,Montant sponsoring,Contrepartie,Statut,Contrat signé,Paiement reçu,Visibilité offerte,Date dernier contact
Crédit Mutuel Saint-Dié,Sponsor,M. Renault Directeur,contact.stdié@creditmutuel.fr,03 29 XX 10 XX,1500€,Logo maillots + banderole 4x2m,Confirmé,Oui,Oui,Logo dos maillots 180 joueurs + banderole tribune + posts réseaux,2026-11-05
Décathlon Épinal,Sponsor,Mme Mercier Responsable,epinal@decathlon.fr,03 29 XX 20 XX,1500€,Logo maillots + matériel offert,Confirmé,Oui,Oui,Logo poitrine maillots + matériel sport 400€ offert + stand,2026-11-12
Super U Saint-Dié,Sponsor,M. Dubois Gérant,contact@superu-stdie.fr,03 29 XX 30 XX,500€,Logo banderole + goodies,Confirmé,Oui,Oui,Banderole 2x1m + distribution goodies participants,2026-11-18
Boulangerie des Vosges,Sponsor,Mme Fontaine,boulangerie.vosges@mail.fr,03 29 XX 40 XX,300€,Viennoiseries petit-déj + logo,Confirmé,Oui,Oui,300 viennoiseries samedi matin + logo buvette,2026-11-20
Banque Populaire Lorraine,Sponsor,M. Lambert,contact.lorraine@bplc.fr,03 83 XX 50 XX,800€,Logo maillots + banderole,Intéressé,Non,Non,En négociation - Logo manche maillots proposé,2026-12-01
Vosges Matin,Média,Rédaction sport,sport@vosgesmatin.fr,03 29 XX 60 XX,,Article avant + pendant + après,Confirmé,Non,Non,3 articles + interview organisateurs + photos,2026-11-25
Est Républicain,Média,M. Perrin journaliste,jperrin@estrepublicain.fr,03 83 XX 70 XX,,Article + reportage photo,Confirmé,Non,Non,Article vendredi + résultats samedi,2026-11-28
France 3 Lorraine,Média,Mme Robin Chef édition,redaction.lorraine@france3.fr,03 83 XX 80 XX,,Reportage JT dimanche soir,Intéressé,Non,Non,Sous réserve actualités - caméra confirmée finales,2026-12-02
Vosges TV,Média,M. Gauthier Directeur,contact@vosgestv.fr,03 29 XX 90 XX,,Live finales + interview,Confirmé,Non,Non,Diffusion direct finales samedi après-midi,2026-11-22
France Bleu Sud Lorraine,Média,Animation locale,sudlorraine@francebleu.fr,03 87 XX 00 XX,,Interview radio vendredi matin,Intéressé,Non,Non,Duplex direct 8h15 vendredi matin,2026-12-05
Mairie Saint-Dié,Partenaire logistique,M. Le Maire,cabinet@mairie-saintdie.fr,03 29 XX 11 XX,,POJC tarif préférentiel + soutien,Confirmé,Oui,Non,Convention signée - participation inauguration,2026-10-28
UCPA Saint-Dié,Partenaire logistique,M. Leclerc Directeur,stdié@ucpa.asso.fr,03 29 XX 12 XX,960€,80 lits à 12€/nuit,Confirmé,Oui,Non,Hébergement Nancy-Brabois + Longwy - facturation après,2026-11-15
Cars Vosges,Partenaire logistique,Mme Thomas,contact@carsvosges.fr,03 29 XX 13 XX,700€,2 navettes aller-retour,Confirmé,Oui,Non,Transport Thionville + Moselle-Est - facturation après,2026-11-10
Jean-Pierre Transport,Partenaire logistique,M. Girard,jp.transport@mail.fr,06 XX XX XX XX,800€,2 navettes aller-retour,Confirmé,Oui,Non,Transport Metz + Nancy - facturation après,2026-11-08
Pompiers Saint-Dié,Partenaire sécurité,Lieutenant Moreau,sdis88@pompiers.fr,03 29 XX 14 XX,,Stand-by + intervention si besoin,Confirmé,Non,Non,Convention partenariat sécurité signée,2026-10-15
